2025-07-08 03:58:15 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:15 | INFO     | Request completed: GET /favicon.ico - 404
2025-07-08 03:58:16 | INFO     | Request started: GET /metrics
2025-07-08 03:58:16 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:16 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:58:31 | INFO     | Request started: GET /metrics
2025-07-08 03:58:31 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:31 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:58:35 | INFO     | Request started: GET /
2025-07-08 03:58:35 | INFO     | Request completed: GET / - 200
2025-07-08 03:58:35 | INFO     | Request started: GET /favicon.ico
2025-07-08 03:58:35 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:35 | INFO     | Request completed: GET /favicon.ico - 404
2025-07-08 03:58:46 | INFO     | Request started: GET /metrics
2025-07-08 03:58:46 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:46 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:58:50 | INFO     | Request started: GET //metrics
2025-07-08 03:58:50 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:58:50 | INFO     | Request completed: GET //metrics - 404
2025-07-08 03:59:01 | INFO     | Request started: GET /metrics
2025-07-08 03:59:01 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:59:01 | INFO     | Request completed: GET /metrics - 404
2025-07-08 03:59:16 | INFO     | Request started: GET /metrics
2025-07-08 03:59:16 | ERROR    | HTTP Exception: Not Found
2025-07-08 03:59:16 | INFO     | Request completed: GET /metrics - 404
